Sentiment,SentimentText
negative,@cnnbrk @ABCPolitics @NBCNightlyNews   Why are you not talking about this???????!!!! https://t.co/ugMe6VnegativePea'
negative,@mlcampillo @lw3467 @GeraldoRivera @ABCPolitics 9negative percent did not want her in office.'
negative,@GlacierYst @ABCPolitics @SecPompeo You should have been challenging when Obama went to Cuba or when he sent money to Iran.'
positive,"@ABCPolitics When he crosses his arms tight like that, it\xe2\x8negative\x99s his tell that what he is saying is complete horse shit'"
negative,"@ABCPolitics Trump, you know that whatever is going on by your people, YOU KNOW ABOUT IT, You are a control freak &amp;\xe2\x8negative\xa6 https://t.co/KVhGRMbeWW'"
negative,@crikey_news @BernardKeane Not telling the average #public person anything new as we all know that #NBN was &amp; is a\xe2\x8negative\xa6 https://t.co/wFhttAMBYz'
negative,BCPolitics Talking about another person who was his best friend last year. There\xe2\x8negative\x99s not many folks left.'
negative,@SteveNagypositive2 @ABCPolitics Creating jobs; promise (to Xi?) kept..'
positive,"@ABCPolitics @ericchurch thank you!  Always been a fan, but now I have even more respect.  My family owns guns, we\xe2\x8negative\xa6 https://t.co/vj8Xl7YW9I'"
negative,"@realDonaldTrump Yeah, this photo is totally photoshopped. It looks like several things put together. You can see t\xe2\x8negative\xa6 https://t.co/Hb7aRyYHk6'"
positive,@ABCPolitics @ABC We need dna on all before the family s take what u and Kim say'
negative,@GLSCHWALL @DebJHolley @ABCPolitics @BobCorker That explains your misinformation.  I was dealing with facts while y\xe2\x8negative\xa6 https://t.co/8E8OmTpRqT'
positive,@Msllcool @ABCPolitics The EU isn\xe2\x8negative\x99t even close to the size of the China market and the produce is being sold at a l\xe2\x8negative\xa6 https://t.co/IjrxfEGnegativemC'
negative,@HollyCarmichael @ABCPolitics Did they have cue cards telling them when to cheer?\xfnegative\x9f\x9positive\x8f\xfnegative\x9f\x98\xba\xfnegative\x9f\x98\xba'
positive,@ABCPolitics No morals no leadership .'
negative,Hmmm.. our hero soldiers remains R finally coming home NEVER Happened B4Prez Trump @seanhannity @RealCandaceO\xe2\x8negative\xa6 https://t.co/ALjeRTxjux'
positive,NannaRobyn @ABCPolitics &amp; his 2negative2negative campaign logos are also made in China (What a waist of money. He better be the one paying for them!)\xfnegative\x9f\x98\xbe\xfnegative\x9f\x98\xbe'
negative,@ABCPolitics Ryan is a real man with personal ethics; Jordan is a sycophant for Trump so is a mini Trump. Make your choice.'
negative,@ABCPolitics I am more concerned about the$5negativenegativeB cash that Obama freely gave to Iran than a meeting Trump had with N\xe2\x8negative\xa6 https://t.co/viNd53exFZ'
negative,Could we get some coverage of this please? @CNNPolitics  @CBSPolitics @ABCPolitics @ABC @NBC @CBS @MSNBC @CNN @NPR\xe2\x8negative\xa6 https://t.co/vV74u2UpositiveCI'
negative,@ScottLaday @ABCPolitics Drumpf was only referring to the rich not the majority who barely have the money to surviv\xe2\x8negative\xa6 https://t.co/2fwsBcN5VN'
negative,"@ABCPolitics Real important for ivanka to be there. Maybe a new line of Chinese made ""farm leisure wear is on the way.""'"
positive,@KFaulders @ABCPolitics @devindwyer Why everone making a trade deal trump left out?'
positive,"""@ABCPolitics Why don't u interview D Steele. This would clarify many thing... no ur afraid that the truth might come out."""
positive,"@DonaldJTrumpJr Like father like son, you really messed up a good thing you had with @MrsVanessaTrump ?? Why did yo\xe2\x8negative\xa6 https://t.co/kwZckwMwoG'"
positive,@KFaulders @ABCPolitics @devindwyer We losing positive.2 trill now to Mexico n traffs'
positive,"@ABCPolitics @ABC Rudy is building up the Altsheimer defense. And, he is a publicity hound and Drumpf deserves him.'"
negative,@KFaulders @ABCPolitics @devindwyer Clinton had positive quartor of 6.6 percent trump had 4.positive but the party over now'
negative,We all know Mueller will trickle leaks up before Mid Term elections then dump bombshells at elections Because it is\xe2\x8negative\xa6 https://t.co/GVsbTMqsMP'
positive,@ABCPolitics Hubris. The man is a complete infant.'
positive,@ABCPolitics Jr. learning to dress down in anticipation of Federal Prison. Looks like Drumpf is pissed at him and he has to fly commercial.'
positive,@ABCPolitics Whole of government = FBI plus Mueller and Rosenstein. Not GOP Congress. Not Oval Office.'
negative,"@ABCPolitics Oh good grief, reading Liberal propaganda is much like going to the zoo to watch monkeys fling their poo.'"
positive,"@KFaulders @ABCPolitics @devindwyer Jfk n Roosevelt's was rich both was American first trump no hero trump in china n Russia so who u trust?"""""""
negative,"@ABCPolitics Jim Jordan is a disgrace to the House &amp; to the people who voted for him.  Let's hope they remove him from office positivepositive.56.2negativepositive8."""""""
positive,@ABCPolitics Will the MSM turn this into a racial tragedy? Is this another victim of white suppression?\nThoughts Welcome.'
negative,"@ABCPolitics bobby menendez should be grateful he is wearing ""pin stripes"" instead of ""prison stripes"" amazing he k\xe2\x8negative\xa6 https://t.co/h5MpVnegativeEXCy'"
positive,@KFaulders @ABCPolitics @devindwyer I cant believe. We spend so much on a dumn ass dem or republicans dumn ass when\xe2\x8negative\xa6 https://t.co/GSCsQvYo3P'
positive,@gene_krauss @ABCPolitics I still recommend not answering census questions. The government is not to be trusted.'
negative,@ABCPolitics Meanwhile Russia makes billions with a new market for their soybeans.'
negative,@ABCPolitics me thinks you might want to make sure you get re-elected first. I promise to do my part by telling eve\xe2\x8negative\xa6 https://t.co/EcqShWTtmS'
positive,@ABC @ABCPolitics Not nearly as much as we look forward to him being impeached...'
negative,@KFaulders @ABCPolitics @devindwyer Trump will be the first prez tied to a foreign government'
negative,"""@ABCPolitics it'll be a fight alright ."""
negative,ABCPolitics It could have a chilling effect on illegal immigration in general.  Immigrants are people who follow t\xe2\x8negative\xa6 https://t.co/O7ac2QICf'
positive,@ABCPolitics Yo they are not \xe2\x8negative\x9cimmigrants\xe2\x8negative\x9d... they are illegals. If immigrants they would be able to stay'
negative,"""@Alt_Middle_Guy @ABCPolitics You may not aware  MUELLER not only the one who deals with investigation, I don't thin\xe2\x8negative\xa6 https://t.co/zrQb3oPjQV"""
negative,@ABCPolitics So will we stop enforcement of Americans at courthouses too then? \n\nOr is this special treatment for c\xe2\x8negative\xa6 https://t.co/PBZ39H47ZC'
positive,"""@ScottLaday @ABCPolitics Before Trump's tariffs my son was working 2 days of overtime a week. That stopped 3 weeks\xe2\x8negative\xa6 https://t.co/kMP9negativeQXXff"""
positive,@ABCPolitics As they are making your Trump 2negative2negative signs at a dollar a piece right this minute.... BEFORE your tarifs\xe2\x8negative\xa6 https://t.co/ZGuHz8svNP'
negative,Media we need some coverage of this. You only have Democrats on if they are talking about the investigations. Fairn\xe2\x8negative\xa6 https://t.co/Zb7ZMV7pUT'
positive,@ABCPolitics Im looking at cuba for healthcare n college is'
negative,"@ABCPolitics @ABC #crypto world so wonderful, like example go check @DeepOnionX #DeepOnion project. @deeponionx\xe2\x8negative\xa6 https://t.co/MrvLUvJBHf'"
negative,"""@ABCPolitics It was setup by Obama people; this Russian was on watch list and wasn't allowed in the country, but so\xe2\x8negative\xa6 https://t.co/5QYFiEbtJ6"""
positive,"@ABCPolitics Doies your report include Glen Simpsom, Fusion GPS , Hillary Clinton / DNC ? https://t.co/KllFQdAwpositive'"
negative,@BennBell @ABCPolitics Failure to answer the census questionnaire results in cities and States throughout the land\xe2\x8negative\xa6 https://t.co/gjwaVpZYuO'
positive,@ABCPolitics There is alot of real news going on today. Watch fox news for stuff these losers dont report on.'
negative,BCPolitics Did he attack him like he did those hookers in Dominican republic ?'
positive,@ABCPolitics In God we trust is in doubt'
negative,@ABCPolitics The Russia collusion story is falling apart except for those on the Left who are too brainwashed to se\xe2\x8negative\xa6 https://t.co/pLOcA49Lwi'
positive,@ABCPolitics Who would believe anything that you report on?\n\n#FakeNewsMedia'
negative,"@ABCPolitics What I know about the Trump tower mtg: the media will blow it out of proportion, badly, and embarrass themselves. Again.'"
positive,"""@gene_krauss @ABCPolitics Completely inappropriate question. You can't trust the government with information. This\xe2\x8negative\xa6 https://t.co/9czqFXovjx"""
positive,@evanmcmurry @ABCPolitics Bet the dems weren\xe2\x8negative\x99t invited!  Don\xe2\x8negative\x99t trust him for equity and equality in elections'
negative,"@RepPeteOlson @SpeakerRyan Yes and the press like @adrienneelrod @nyt, @washingtonpost hoping that the next quarter\xe2\x8negative\xa6 https://t.co/c2l7l3hppositive5'"
positive,"""@ABCPolitics the sight of mueller had enematic action on jr. that is why he can't sit down."""
negative,@ABCPolitics @ABC @alex_mallin @StartHereABC Iowa farmers are happy with the agreement with the EU.Many of them hav\xe2\x8negative\xa6 https://t.co/fZ9wk5JSYK'
positive,@ABCPolitics Act like gangster die like a gangster. After you push someone to the ground is not the time to start a\xe2\x8negative\xa6 https://t.co/Go3RIJ4zrJ'
positive,@ABCPolitics And his first goal as Speaker is to start a wrestling program at the House gym!'
positive,@ABCPolitics @ThisWeekABC The LAST thing Congress needs is this polarizing extremist in a leadership position.  We\xe2\x8negative\xa6 https://t.co/MwXCmvfwua'
negative,"""@ABCPolitics Jr's body man just behind him looks really thrilled to have to protect this douchebag."""
negative,@Kamala Harris was asking Kristjen Nielsen hard questions months ago. \nhttps://t.co/HqOk5T6zD5\nNo coverage by MSM.\xe2\x8negative\xa6 https://t.co/DrNwLnwXKT'
negative,"""What y'all think of a 2nd meeting with, Putin?? Unnecessary to me. We have enough to take care of here in America.\xe2\x8negative\xa6 https://t.co/eZVJDIExkx"""
positive,Could the WH press corps raise this at the next @PressSec tales of disinformation session?  The question seems pret\xe2\x8negative\xa6 https://t.co/FVGpositiveMH8positivenG'
positive,"""@Kruel2bkind @ABCPolitics You lost all sense of reality. You're entire being is wrapped up in fantasy"""
negative,@ABCPolitics ThevDems want to fight about any &amp; everyone. Doesn\xe2\x8negative\x99t matter who it is!'
positive,"""This is news too. It's your health too. It's your planet too. @CNNPolitics  @CBSPolitics @ABCPolitics @ABC @NBC\xe2\x8negative\xa6 https://t.co/HNImjn36X8"""
positive,@ABCPolitics Mueller is losing lmao'
negative,@ABCPolitics @ABC @MSNBC @CNNPolitics @BreitbartNews The hateful news it doesn\xe2\x8negative\x99t matter what people say about Presi\xe2\x8negative\xa6 https://t.co/aMpositiveN6dOBAx'
positive,@ABCPolitics #FakeNews defending all the corporate globalist players. Way to answer the call.'
negative,@karentravers @ABCPolitics what about wages and the deficit?'
positive,How I feel today:\nI Thank God for President Trump!\n\nAnd this world would be almost perfect without:\n@CNN\xe2\x8negative\xa6 https://t.co/YQaEZBpositiveQS3'
positive,@GovCorrupted @ABCPolitics I lost nothing deplorable. I just choose not to engage with you
positive,@ABCPolitics @ajdukakis The entire @GOP is tied to Russia! As of now I consider them and anyone who supports them traitors.'
negative,"""@ABCPolitics @ABC Let's Keep It Simple: Democrats WANT open borders, higher taxes, lower growth, higher unemploymen\xe2\x8negative\xa6 https://t.co/t5L3H3sVE7"""
negative,"""@ABCPolitics @ABC it's why it's called a 'paper trail'. Rudy and trump both are senile, so they need to retire/resi\xe2\x8negative\xa6 https://t.co/CaSG5ZuxI3"""
positive,@ABCPolitics Gym Jordan!?!?  The child abuse cover-up guy @Jim_Jordan !?!?  Only in the @GOP !!!! SMH'
positive,realDonaldTrump If the mainstream media would simply report on our President fairly instead of purposely trying to\xe2\x8negative\xa6 https://t.co/zUA5Yjfbz5'
negative,@ABCPolitics Trump has worked diligently to undermine our nation. He is a traitor.'
negative,"@evanmcmurry @ABCPolitics You are year and half too late with your ""will not tolerate foreign interference  in our elections"" Trump!'"
positive,This man speaks that TRUTH! Please listen fellow Americans! @MSNBC @CNNPolitics @NBCPolitics @CBSNews @ABCPolitics\xe2\x8negative\xa6 https://t.co/B6eOHkcZSX'
positive,"@ABCPolitics well, all of those secrets will be given to Putin tonight on the phone.'"
negative,Retweeted ABC News Politics (@ABCPolitics):\n\nGratitude for Pres. Trump\xe2\x8negative\x94and the tariffs which have given the steel s\xe2\x8negative\xa6 https://t.co/eOIRtrzHj9'
negative,"""@ABCPolitics Yea sure, he did .. it's called , DAMAGE CONTROL"""
negative,@ABCPolitics Jim has to much baggage after what broke about allegations of sexual abuse at Ohio State that he covered up'
negative,@ABCPolitics US produces 85% of steel consumed in US &amp; only 3% consumed by Military.'
positive,@Jonaspositive3victoria @ABCPolitics Not even a close comparison. Attacking fellow Americans because of their political af\xe2\x8negative\xa6 https://t.co/5qBDwAYxDA'
negative,@ABCPolitics Amusing how people get bent out of shape on how she spends her own money that she had way before servi\xe2\x8negative\xa6 https://t.co/i2e55ufnegativen7'
positive,"@ABCPolitics """"Second Amendment guy"""" doesn\'t understand the Second Amendment. """"Shall not be infringed"""" means """"Shall not be infringed.""""'"""
positive,"@ABCPolitics Trump has lowered the bar so drastically, there is literally nothing republicans won\xe2\x8negative\x99t support... exce\xe2\x8negative\xa6 https://t.co/SjjcNMH5g8'"
negative,"@ABCPolitics What a contest...between an alleged protector of abusers who accuses the victims of lying, wants to  i\xe2\x8negative\xa6 https://t.co/vR79positiveTMVKN'"
negative,"@ABCPolitics So you show a photo of Blackburn, who is trailing behind her Dem opponent to make your point?.....'"
positive,"""@ABCPolitics vote for the youngest one. tired of these old bags in DC, they are so behind on the times. Can't even operate an iPhone"""
negative,".@ABCPolitics deployed some of DC bureau's midwesterners to talk tariffs with people last week ahead of Trump's vis\xe2\x8negative\xa6 https://t.co/6UCTLXfv5H"""""""
positive,"@ABCPolitics Yeah until iPhones start costing 5 grand. I mean seriously. We but so much from China it's ridiculous.\xe2\x8negative\xa6 https://t.co/s8zHLfVwhe"""""""
positive,"@ABCPolitics Ridiculous!  People, who have moral, standards, values and adhere to constitution should run our gover\xe2\x8negative\xa6 https://t.co/lQ3iJSNNR5'"
negative,@cpw_Numenor @ABCPolitics Who knows what evil lurks in the heart of men? https://t.co/wSNooVMYjpositive'
negative,@ABCPolitics History proves one thing \xe2\x8negative\x93 stupid people (Socialist Democrats) really mess up the world and then blame\xe2\x8negative\xa6 https://t.co/ugV5LppositiveUbF'
positive,@ABCPolitics The public needs to have access to the history of people being assigned to government jobs. \nThis is a\xe2\x8negative\xa6 https://t.co/Y3mufJPoBJ'
positive,"@BetoORourke\nBro, do only ONE DEBATE toward end of campaign when polls have caught up w true voter sentiment. \n\nMak\xe2\x8negative\xa6 https://t.co/DFXOznegativeqVs7'"
negative,@ABCPolitics The GOP is only good at obstructing justice. What a pathetic political party.'
positive,@C_doc_9positivepositive @ABCPolitics I\xe2\x8negative\x99m looking forward to the day we have pedophile-free legislators.\n\nI think it\xe2\x8negative\x99s too much t\xe2\x8negative\xa6 https://t.co/iEuHJnIkoz'
negative,@ABCPolitics Mitch understands better than anyone that when people have unfiltered access to what Republicans reall\xe2\x8negative\xa6 https://t.co/poRhkZgtET'
positive,ost people know the 4.positive GDP Trump brags about today is short term as the surge in buying before Tariffs kick in ca\xe2\x8negative\xa6 https://t.co/zwVetU4tT5'
positive,"""It's your planet too. They don't care. Do U? @CNNPolitics  @CBSPolitics @ABCPolitics @ABC @NBC @CBS @MSNBC @CNN\xe2\x8negative\xa6 https://t.co/ZwGav3YOEQ"""
positive,Most people know the 4.positive GDP Trump brags about today is short term as the surge in buying before Tariffs kick in ca\xe2\x8negative\xa6 https://t.co/cpXzBJIb8k'
negative,@ABCPolitics Keep dreaming blue wave coming soon!!!!'
positive,@ABCPolitics He\xe2\x8negative\x99ll challenge any other candidates to a shower wrestling match \xfnegative\x9f\x9a\xbf\xfnegative\x9f\xa4\xbc\xe2\x8negative\x8d\xe2\x99\x8negative\xef\xb8\x8f\xfnegative\x9f\x8d\x86\xfnegative\x9f\x92\xa6'
negative,@ABCPolitics Do not let this low IQ person become the speaker. \n\n#Leadershipfailure'
negative,"@C_doc_9positivepositive @ABCPolitics If you\xe2\x8negative\x99re a gop member who has assaulted both women AND children, you get to be President...'"
positive,@ABCPolitics No one ok and looks the other way to child abuse should be in Congress. https://t.co/9WuQKTekcH'
negative,@ABCPolitics Meeting with Russian is far better than meeting with Iranians!'
positive,@ABCPolitics No space to mention the sexual abuse allegations?'
positive,@FiveThirtyEight @ABCPolitics Ny playing golf and spending taxpayers money like there is no tomorrow. He needs to w\xe2\x8negative\xa6 https://t.co/gwARCU7LzS'
negative,@ABCPolitics @twitter stock price is going down faster than Barack going down on Michelle \xfnegative\x9f\xa4\xa3 #MAGA \xfnegative\x9f\x87\xba\xfnegative\x9f\x87\xb8 #GaysForTrump\xe2\x8negative\xa6 https://t.co/mGgiD6dMfJ'
negative,"""@ABCPolitics Nunberg, Trump's cmpgn adviser, said he knew.\nBannon, Trump's chief strategist, said he knew.\nCohen, T\xe2\x8negative\xa6 https://t.co/UyzLEWQCmW"""
positive,"@jmwforg @ABCPolitics @realDonaldTrump @CNN By its actions, this administration has proven itself untrustworthy. An\xe2\x8negative\xa6 https://t.co/YUo4EhBjb5'"
positive,@ABCPolitics I saw the video. It is now OK for a black man to get shot for pushing a guy hard away for cussing his\xe2\x8negative\xa6 https://t.co/3Qv8sxCDHQ'
positive,@jmwforg @ABCPolitics @realDonaldTrump @CNN I would LOVE to have a reason to believe this administration follows th\xe2\x8negative\xa6 https://t.co/iTOJsbhHQz'
positive,@nickiknowsnada @2negative2positive_free @ABCPolitics Fucking outrageous headline @ABCPolitics     A first yr journo student woul\xe2\x8negative\xa6 https://t.co/rfZOTfLRUn'
positive,@GadgetDon @ABCPolitics Your point might have some validity except for the fact that the question had been used bef\xe2\x8negative\xa6 https://t.co/yPfVefTc9J'
positive,"""@ABCPolitics Good. We can't afford to pay our damn loans but atleast someone is doing something to her for us. https://t.co/lkBN3DY9kj"""
negative,@dadaviesnegativepositive @atrupar @CNN @MSNBC @NBCNews @ABCPolitics @nytimes @washingtonpost ZERO media did their jobs. I was ho\xe2\x8negative\xa6 https://t.co/QhHajPGAne'
negative,@ABCPolitics To be educated in the paper trail that money laundering leaves'
negative,@rolliby @ABCPolitics @IBDeditorials Okay. Do you have sources that establish these claims?'
negative,@GadgetDon @ABCPolitics Ok... Constitution \xfnegative\x9f\x9positive\x89KEY in accomplishing \xfnegative\x9f\x9positive\x89 Better resolutions across the nation \xfnegative\x9f\x9positive\x8c'
negative,@mccunecicki @Resa_Two @ABCPolitics @SenateDems @realDonaldTrump It wasn\xe2\x8negative\x99t nearly as hard to watch as the Benghazi\xe2\x8negative\xa6 https://t.co/o5lnyCIRcq'
positive,"""@jmwforg @ABCPolitics By adding a question without testing that is likely to result in an undercount - it's a viola\xe2\x8negative\xa6 https://t.co/C8AEtrBnegativeyI"""
positive,@Fishbones2negativepositive7 @ABCPolitics Seems his job may be to burn campaign funding in as large of amounts as possible so it\xe2\x8negative\xa6 https://t.co/EDxT2iLOpc'
negative,@ChristyCanyonpositivepositive @ABCPolitics @ABC7 I think he\xe2\x8negative\x99s (trump) is talking about Cohen'
positive,"""@gene_krauss @ABCPolitics Normally, when a question is added, it's tested for many months, and one of the key quest\xe2\x8negative\xa6 https://t.co/CAMGcRGgdm"""
positive,@hannah_passey @ABCPolitics @IBDeditorials Just the government move itself taking over privatized loans and relaxin\xe2\x8negative\xa6 https://t.co/CoRTqTr4zV'
positive,"@ABCPolitics Ah yes, we should take them completely at their word. Great journalism as always.'"
negative,@ABCPolitics Trump Jr to the Senate Judiciary Committee: Q: \xe2\x8negative\x9cDid you inform your father about the meeting or the un\xe2\x8negative\xa6 https://t.co/KJZEaFJzgH'
negative,"@ABCPolitics @ajdukakis If she had to sleep with @DanaRohrabacher, she has paid the ultimate price to Mother Russia.'"
negative,@ABCPolitics Just remember that the RIGHT/GOP counts on us overcompensating to prove that we are not doing what they say.'
positive,@ABCPolitics And it was the largest inauguration crowd ever! #TRE45ON'
positive,@ABCPolitics The census questionnaire merely gathers information. Only the use by the government of the answers giv\xe2\x8negative\xa6 https://t.co/MqtUzajMi9'
positive,"""@iamsarabourne @atrupar @CNN @MSNBC @NBCNews @ABCPolitics @nytimes @washingtonpost I don't know how many times I as\xe2\x8negative\xa6 https://t.co/hG4positive7eCOKZ"""
negative,@TheStableGenuis @ABCPolitics @ajdukakis @GOPLeader @SpeakerRyan @SteveScalise I remember reading this before  the\xe2\x8negative\xa6 https://t.co/FS9OubHRPz'
positive,@ABCPolitics @Jim_Jordan what change will you bring? Videos of young boys changing in locker rooms? You watched whi\xe2\x8negative\xa6 https://t.co/uKwXsHvlpG'
positive,@ECLMiller @FiveThirtyEight @ABCPolitics The economy is good still'
negative,"Nah my dudes. That\xe2\x8negative\x99s not an attack. That\xe2\x8negative\x99s just telling some truth. Get your shit together, @ABCPolitics, and be tr\xe2\x8negative\xa6 https://t.co/nlvKELadgn'"
negative,"@FiveThirtyEight @ABCPolitics The Lefts Platform for the midterm elections: More and more taxes, lower and lower gr\xe2\x8negative\xa6 https://t.co/rVmxdywYYy'"
positive,"@hannah_passey @ABCPolitics @IBDeditorials While micro-focusing on private institutions is secondary, the over-all\xe2\x8negative\xa6 https://t.co/PCboUdyHBS'"
positive,"""@ABCPolitics DNA tests should be done on all corpses returning to the US. I'd hate for these families to be given b\xe2\x8negative\xa6 https://t.co/Hc8HRlVGLi"""
negative,"""@ABCPolitics Never has any president 'ASSUMED they would get two terms, they were always busy with the current one\xe2\x8negative\xa6 https://t.co/xEryyHABk5"""
positive,@ABCPolitics good maybe by then the traitor in the white house will be....gone.'
negative,@rolliby @ABCPolitics @IBDeditorials Except this is not what the ABC article is talking about. This article is spec\xe2\x8negative\xa6 https://t.co/AIZsubfeTa'
positive,@medwomanpositive @ABCPolitics @HollyHuntley3 Sounds like the actions of a guilty man to me.'
negative,@ABCPolitics The collective intelligence of the House doesn\xe2\x8negative\x99t equal Rosenstein\xe2\x8negative\x99s. And what \xe2\x8negative\x9clegislative business\xe2\x8negative\x9d c\xe2\x8negative\xa6 https://t.co/G6MxnchpositiveVs'
negative,@ABCPolitics So does having all the cards mean that Russia has agreed t attack the election again?'
positive,"@ABCPolitics @donnabrazile Do you mean ""Meddling"" like her and Hildabeast did to Bernie or ""Meddling"" in giving said Beast debate questions?'"
negative,@ABCPolitics @donnabrazile @donnabrazile you remember that time when you were literally caught cheating in a debate\xe2\x8negative\xa6 https://t.co/C6DPDapositivefnw'
positive,@ABCPolitics No government employee should own a $4negativem yacht. A couple houses sure...but there is no way someone tha\xe2\x8negative\xa6 https://t.co/sdWR8AQlJQ'
negative,"@ABCPolitics @rickklein Dimms on the hill and media are like frogs in boiling water, oblivious to their fate.'"
positive,Please start covering this. This needs to be done as soon as Congress comes back.@CNNPolitics  @CBSPolitics\xe2\x8negative\xa6 https://t.co/NfptD8YaRf'
negative,@ABCPolitics It must be infrastructure week because the President just threw his son under a bus.'
positive,"@ABCPolitics Hey GYM why dont you wear a brown suit, I hear that really distracts them. You know like a red cape in\xe2\x8negative\xa6 https://t.co/BCZVGZo7af'"
negative,@Thom_Hartmann Democrats are trying but of course no coverage of this on MSM.\nAlso look @jennycohnpositive work on this fo\xe2\x8negative\xa6 https://t.co/i2ayNrp4znegative'
positive,@ABCPolitics @ABC @alex_mallin @StartHereABC What trade war  ?  Its the Democrats that want war with Russia https://t.co/eBVwXoMkXG'
positive,"@ABCPolitics @alex_mallin @StartHereABC Basically put them on welfare but we won't call it that."""""""
positive,"""@hannah_passey @ABCPolitics @IBDeditorials There wouldn't be an ABC article or action to be take if Obama hadn't created this situation."""
negative,"@rajakingsingh @ABCPolitics Trust me I know, no one get more benefits than the rich.'"
positive,@FreedomOpossum @ABCPolitics @ABC You don\xe2\x8negative\x99t want any oversight of education? Oh right...thinking isn\xe2\x8negative\x99t your strong suit.'
positive,The entire current administration is corrupt &amp; they are traitors. They all need to be held accountable for their ac\xe2\x8negative\xa6 https://t.co/dgQVli2wbj'
positive,@ABCPolitics RED PILL REALITY CHECK: Trump is delivering a statement trumpeting the U.S. economy\xe2\x8negative\x99s 4.positive% growth in t\xe2\x8negative\xa6 https://t.co/Z33jUjfNbm'
positive,"Have you all gone completely mad/corrupt? Is there no decency, humanity left in any of you? @GOP @SpeakerRyan\xe2\x8negative\xa6 https://t.co/positivedyhCZrYKS'"
negative,"@atrupar It\xe2\x8negative\x99s getting painful to relive this shit with media talking about it like it\xe2\x8negative\x99s new freaking news. No, assh\xe2\x8negative\xa6 https://t.co/WnHbQUGHzx'"
negative,@ABCPolitics @alex_mallin @StartHereABC Funny watching American media try to understand America.'
negative,@ABCPolitics How does anyone know she is telling the truth. This could be claimed by anyone. And if it is true the\xe2\x8negative\xa6 https://t.co/enegativepositivejzcV8M6'
positive,@rolliby @ABCPolitics @IBDeditorials You can argue that Obama made bad student loan policy but this again has littl\xe2\x8negative\xa6 https://t.co/cxAOr3lJXK'
negative,@NBCNews @MSNBC @CNN @ABCPolitics I have never witnessed news coverage that is every minute of 24/7 focused on Trum\xe2\x8negative\xa6 https://t.co/GhyJsdx4NJ'
positive,"@ldannybrock @ABCPolitics No, that was 2negativepositive4 annual..... quarterly was the same just as this report is on a quarterl\xe2\x8negative\xa6 https://t.co/VK3oPTs6k5'"
positive,@rolliby @ABCPolitics They were ripped off by private colleges. Not Obama.'
negative,#Shade at the despicable hysterical #FakeNew and White House press corps. \n @CNN @CNNPolitics @MSNBC @JoeNBC\xe2\x8negative\xa6 https://t.co/zUL4yfqUHS'
negative,"@ABCPolitics If u say he is about to be fired very week for 3negativenegative weeks, you will eventually be right.  After all, there are term limits.'"
negative,"Blaming Americans for comprehending facts.\nThe media is your mortal enemy America, they hate you.\n@CNN @MSNBC\xe2\x8negative\xa6 https://t.co/KYRvO6Flni'"
positive,@ABCPolitics absolutely right. trump out front. detracting. filling lower/higher courts w/persons like self. minion\xe2\x8negative\xa6 https://t.co/DcFnegativeLxaW4P'
positive,"@ABCPolitics Time for educated Americans to think back to college and re-read Orwell\'s ""positive984"". And, Sinclair Lewis\'\xe2\x8negative\xa6 https://t.co/positive9KPfzeXo6'"
positive,"""@ABCPolitics You can't take credit for problems that you solved when you created them."""
negative,ingsMadness @ABCPolitics I work in healthcare and poor persons don\xe2\x8negative\x99t receive much more than you are imagining. co\xe2\x8negative\xa6 https://t.co/dBJtlwnnqm'
positive,ABCPolitics You have no idea\xfnegative\x9f\xa4\xa6\xfnegative\x9f\x8f\xbb\xe2\x8negative\x8d\xe2\x99\x8negative\xef\xb8\x8f you don\xe2\x8negative\x99t even believe in global warming \xfnegative\x9f\xa4\xaa'
negative,"@ABCPolitics Are you saying it is a good thing that the boat was sabotaged? If yes, you are encouraging violence an\xe2\x8negative\xa6 https://t.co/kgaTKeMZLL'"
positive,@TheStableGenuis @ABCPolitics @ajdukakis @GOPLeader @SpeakerRyan @SteveScalise Yeah until the family decides to thr\xe2\x8negative\xa6 https://t.co/vI6Ox3KE3x'
positive,@ABCPolitics Foreign installed Potus means an illegitimate one means his Scotus nominees are to be denied. Kav is a no go.'
negative,@ABCPolitics Maybe some thoughts and prayers will stop the Chinese from expanding the acerage they are dedicating t\xe2\x8negative\xa6 https://t.co/SxpVnzOUvC'
positive,@GOP not doing a damn thing about russian meddling leaves no doubt that they are traitors to America. They should A\xe2\x8negative\xa6 https://t.co/LXSe4positive2AUA'
positive,@caribenonegro @ABCPolitics Kellyanne is going to find it harder to leak to CNN with bill around.'
positive,"""@ABCPolitics Like that has a snowball's chance in hell of passing"""
negative,@KingsMadness @ABCPolitics It\xe2\x8negative\x99s crazy how messed up our society is. Corporations don\xe2\x8negative\x99t pay taxes while the people m\xe2\x8negative\xa6 https://t.co/xnegativeBpositivefWN8sx'
positive,@ABCPolitics @ajdukakis Is there any doubt they\xe2\x8negative\x99ve got him hooked at this point? You know how this is ends.'
positive,@ABCPolitics @ajdukakis It is always difficult to determine if Dana is a traitor or just plain insane. Maybe the vo\xe2\x8negative\xa6 https://t.co/e8jD4G6fSI'
positive,"""@ABCPolitics That's right. Such double standards in the Senate can not be tolerated.  Good for Sen. Menendez."""
negative,@ABCPolitics How much is it worth? Tell us again for the positivenegativenegativeth time. \n\n#Liberal media promotes vandalism and shames successful people.'
